Country,FormalEducation,UndergradMajor,YearsCoding,YearsCodingProf,Employment,CompanySize,DevType,LanguageWorkedWith,ConvertedSalary
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",13.0,13.0,Employed full-time,299.5,Back-end developer;DevOps specialist;Full-stack developer;System administrator,C#;Java;JavaScript;PHP;SQL;TypeScript;HTML;CSS,122000.0
United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",19.0,13.0,Employed full-time,59.5,Back-end developer;Database administrator;Desktop or enterprise applications developer;Front-end developer;System administrator,C#;F#;JavaScript;SQL;VB.NET;HTML;CSS,48616.0
Iceland,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",7.0,1.0,Employed full-time,299.5,Full-stack developer;Marketing or sales professional,C#;JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell,58428.0
Ukraine,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",,13.0,13.0,Employed full-time,299.5,Back-end developer;Data or business analyst;Database administrator;Educator or academic researcher;Embedded applications or devices developer;Engineering manager;Full-stack developer,Java;TypeScript;HTML;Bash/Shell,70800.0
Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",22.0,13.0,Employed full-time,0.5,Back-end developer;Desktop or enterprise applications developer,Groovy;Java;Python;SQL;Delphi/Object Pascal;HTML;CSS;Bash/Shell,85671.0
United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",7.0,7.0,Employed full-time,749.5,Mobile developer,Java;Kotlin,83342.0
Canada,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)",16.0,13.0,Employed full-time,0.5,Back-end developer;Data or business analyst;Database administrator;Designer;Front-end developer;Full-stack developer;QA or test developer,JavaScript;PHP;SQL;HTML;CSS,76495.0
India,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",4.0,1.0,Employed full-time,10.0,Full-stack developer,CoffeeScript;Java;JavaScript;TypeScript;HTML;CSS;Bash/Shell,6810.0
Netherlands,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",1.0,1.0,Employed part-time,59.5,Data or business analyst;Database administrator;Product manager;QA or test developer,C++;C#;Java;Lua;SQL;VBA;VB.NET;HTML;CSS;Bash/Shell,411228.0
India,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",1.0,1.0,Employed full-time,299.5,Back-end developer;Desktop or enterprise applications developer;Mobile developer,C#;Java;SQL;VB.NET;HTML;CSS,3756.0
Uganda,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",7.0,7.0,Employed full-time,59.5,Desktop or enterprise applications developer;Front-end developer,C++;C#;Java;JavaScript;PHP;SQL;HTML;CSS,19824.0
India,Some college/university study without earning a degree,"A business discipline (ex. accounting, finance, marketing)",4.0,4.0,Employed full-time,59.5,Back-end developer;Data or business analyst;Designer;Front-end developer,C;C++;JavaScript;PHP;SQL;Delphi/Object Pascal;HTML;CSS,5640.0
France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,7.0,4.0,Employed part-time,2.5,Data or business analyst;Data scientist or machine learning specialist,C;C++;Java;PHP;Python;R;HTML;CSS;Bash/Shell,631524.0
Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",7.0,4.0,Employed full-time,59.5,Back-end developer;Mobile developer,Java;JavaScript,57276.0
Tunisia,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",13.0,10.0,Employed full-time,10.0,Back-end developer;QA or test developer,Java;JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,19092.0
United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,4.0,1.0,Employed full-time,59.5,Back-end developer;Full-stack developer,JavaScript;PHP;SQL;HTML;CSS,84000.0
Canada,Associate degree,"Computer science, computer engineering, or software engineering",16.0,19.0,Employed full-time,0.5,Back-end developer;DevOps specialist;Full-stack developer,C#;Groovy;Java;JavaScript;Objective-C;Python;Ruby;SQL;TypeScript;VB.NET;HTML;CSS;Bash/Shell,96626.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,4.0,Employed full-time,749.5,Back-end developer;Front-end developer;Full-stack developer,C++;C#;Java;JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,68000.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",7.0,7.0,Employed full-time,299.5,Back-end developer;Data or business analyst;Database administrator;Designer;Front-end developer;Full-stack developer,JavaScript;PHP;SQL;HTML;CSS,87000.0
Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A social science (ex. anthropology, psychology, political science)",1.0,1.0,Employed full-time,10.0,Data or business analyst,R,63030.0
Sweden,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",19.0,10.0,Employed full-time,0.5,Embedded applications or devices developer,Assembly;C;C++;C#;Go;JavaScript;Lua;Matlab;Python;HTML;CSS;Bash/Shell,69866.0
Poland,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",10.0,4.0,Employed full-time,59.5,Back-end developer;Front-end developer;Full-stack developer;Student,C#;Java;JavaScript;PHP;Python;Scala;SQL;TypeScript;HTML;CSS;Bash/Shell,20112.0
South Africa,Associate degree,"Computer science, computer engineering, or software engineering",4.0,4.0,Employed full-time,59.5,Mobile developer,C#;Java,16812.0
Canada,"Other doctoral degree (Ph.D, Ed.D., etc.)","A social science (ex. anthropology, psychology, political science)",22.0,1.0,Employed full-time,59.5,Data scientist or machine learning specialist;Educator or academic researcher,C;C++;R,112730.0
Italy,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",19.0,13.0,Employed full-time,59.5,Data or business analyst;Database administrator;Desktop or enterprise applications developer;DevOps specialist;Engineering manager;Full-stack developer;System administrator,C#;JavaScript;SQL;TypeScript;HTML;CSS,58746.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",13.0,7.0,Employed full-time,10.0,Back-end developer,Java;JavaScript;Lua;SQL;CSS,94000.0
Pakistan,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",4.0,1.0,Employed full-time,59.5,Back-end developer;Data or business analyst;Embedded applications or devices developer;Front-end developer;Full-stack developer;Mobile developer,Assembly;C;C++;C#;Java;JavaScript;PHP;SQL;TypeScript;Kotlin;HTML;CSS,5400.0
India,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,1.0,Employed full-time,749.5,Back-end developer;Database administrator;Front-end developer;Full-stack developer,Java;JavaScript;SQL;TypeScript;HTML;CSS,5479.0
Germany,Some college/university study without earning a degree,"A natural science (ex. biology, chemistry, physics)",4.0,4.0,Employed full-time,14.5,Back-end developer;Database administrator;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,Assembly;C;C++;Clojure;Go;Java;JavaScript;Lua;Rust;Scala;TypeScript;HTML;CSS;Bash/Shell,39648.0
Germany,,,13.0,13.0,Employed full-time,299.5,Back-end developer;Database administrator;Desktop or enterprise applications developer,C#;PHP;SQL;VBA,91791.0
India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",1.0,1.0,Employed full-time,14.5,Back-end developer;Designer,PHP;SQL;HTML;CSS,3756.0
Italy,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10.0,4.0,Employed full-time,0.5,Back-end developer;Full-stack developer,C#;JavaScript;Python;SQL;HTML;CSS,34269.0
Philippines,I never completed any formal education,,4.0,4.0,Employed full-time,5.0,Back-end developer;Database administrator;Designer;Front-end developer;Full-stack developer;System administrator,JavaScript;PHP;SQL;HTML;CSS,7560.0
Netherlands,,,4.0,1.0,Employed part-time,5.0,Full-stack developer,C;C++;Go;JavaScript;Python;TypeScript;HTML;CSS;Bash/Shell,2208.0
Portugal,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",7.0,1.0,Employed full-time,299.5,Back-end developer,Java;Scala,28149.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10.0,10.0,Employed full-time,749.5,Marketing or sales professional,C#;JavaScript;SQL;HTML;CSS,130000.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",16.0,13.0,Employed full-time,10.0,Back-end developer;Front-end developer;Full-stack developer;Game or graphics developer;Mobile developer,C#;JavaScript;HTML;CSS,178000.0
United Kingdom,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",7.0,4.0,Employed full-time,299.5,Back-end developer,SQL;Bash/Shell,47227.0
India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",10.0,10.0,Employed full-time,14.5,Back-end developer;Database administrator;Front-end developer;Full-stack developer,JavaScript;PHP;SQL;HTML;CSS,26868.0
Canada,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",4.0,,Employed part-time,299.5,Designer;Student,C,54755.0
Germany,"Other doctoral degree (Ph.D, Ed.D., etc.)","Computer science, computer engineering, or software engineering",28.0,16.0,Employed full-time,59.5,Back-end developer,Java;SQL;HTML;CSS,88119.0
France,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,4.0,Employed full-time,59.5,Desktop or enterprise applications developer;Embedded applications or devices developer,Assembly;C;C++,48955.0
"Iran, Islamic Republic of...","Other doctoral degree (Ph.D, Ed.D., etc.)","Computer science, computer engineering, or software engineering",7.0,4.0,Employed part-time,749.5,Data or business analyst;Data scientist or machine learning specialist;Desktop or enterprise applications developer;Student,C#;Java;JavaScript;Julia;Matlab;Python;R;SQL;HTML;CSS,828.0
Pakistan,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",4.0,1.0,Employed full-time,299.5,Mobile developer,C;C++;C#;Java;Objective-C;Swift,4008.0
Switzerland,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",19.0,10.0,Employed full-time,299.5,Back-end developer;Database administrator;Desktop or enterprise applications developer,C#;SQL,125123.0
United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,1.0,Employed full-time,14.5,Full-stack developer,Java;HTML;CSS,40977.0
United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",30.0,30.0,Employed full-time,14.5,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;Desktop or enterprise applications developer;Educator or academic researcher;Embedded applications or devices developer;Front-end developer;Full-stack developer;Game or graphics developer;Product manager;QA or test developer;Student,C#;SQL;HTML;CSS,90000.0
Denmark,Associate degree,"Computer science, computer engineering, or software engineering",16.0,7.0,Employed full-time,59.5,Back-end developer;Full-stack developer,C#;JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,88752.0
India,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",4.0,4.0,Employed full-time,10.0,Back-end developer,Java;Python,187848.0
Sweden,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)",22.0,22.0,Employed full-time,299.5,Back-end developer;Data scientist or machine learning specialist;DevOps specialist,Java;Kotlin;Bash/Shell,86832.0
Czech Republic,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)",19.0,13.0,Employed full-time,59.5,Data or business analyst;Data scientist or machine learning specialist,C++;Groovy;Java;Python;Ruby;SQL;HTML;CSS;Bash/Shell,40536.0
Spain,"Other doctoral degree (Ph.D, Ed.D., etc.)",Mathematics or statistics,1.0,1.0,Employed full-time,59.5,Back-end developer;Front-end developer,C#;Java;JavaScript;Perl;PHP;Python;SQL;HTML;CSS,28149.0
United States,Some college/university study without earning a degree,"Another engineering discipline (ex. civil, electrical, mechanical)",19.0,16.0,Employed full-time,0.5,Back-end developer;Designer;Front-end developer;Full-stack developer,JavaScript;PHP;Ruby;SQL;HTML;CSS,60000.0
Sweden,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,7.0,7.0,Employed full-time,0.5,Data scientist or machine learning specialist;Educator or academic researcher;Student,C++;Matlab;Python,56142.0
United Kingdom,"Other doctoral degree (Ph.D, Ed.D., etc.)","A humanities discipline (ex. literature, history, philosophy)",7.0,4.0,Employed full-time,749.5,Embedded applications or devices developer,C;Haskell;Perl;Python;Rust,76397.0
Russian Federation,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,4.0,1.0,Employed part-time,14.5,Back-end developer;Game or graphics developer,C;C++;Java;JavaScript;PHP;Python;SQL;Kotlin;HTML,16980.0
Belgium,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10.0,4.0,Employed full-time,299.5,Front-end developer,Java;JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,28644.0
United States,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",7.0,4.0,Employed full-time,10.0,DevOps specialist;Front-end developer;Full-stack developer,Go;JavaScript;TypeScript;HTML;CSS;Bash/Shell,105000.0
